,batch_num,bleu,validation_loss
0,58,0.05441563129337476,8.144314692570614
1,116,0.04705567043531846,7.585872943584736
2,174,0.051237572868747215,7.069485591008113
3,232,0.04900206593985917,6.693716195913462
4,290,0.05145320101895099,6.43922600379357
5,348,0.04887747624876602,6.522402836726262
6,406,0.04619754918210798,6.395210266113281
7,464,0.044724420228443244,6.27504143348107
8,522,0.0455945655849373,6.344464228703425
9,580,0.043483572713777154,6.302511361929087
10,638,0.045103701143866075,6.283009455754207
11,696,0.04137368572852592,6.420536921574519
12,754,0.04259548106463498,6.401969909667969
13,812,0.047837372459632745,6.371650108924279
14,870,0.04175872593149405,6.51292243370643
15,928,0.045404643189834094,6.511597853440505
16,986,0.043083649189940655,6.608181293194111
17,1044,0.04256551444515676,6.645335270808293
18,1102,0.04409771518470035,6.631519024188702
19,1160,0.04280552977414614,6.715330270620493
20,1218,0.04408193274814195,6.6609966571514425
21,1276,0.042274735878039156,6.901050861065205
22,1334,0.04443158950568352,6.91310295691857
23,1392,0.0462654688814157,6.850374075082632
24,1450,0.043584841706807584,6.941470806415264
25,1508,0.0416088258449346,6.90468245286208
26,1566,0.04263079637557509,7.00643803523137
27,1624,0.044166187209606314,7.16530022254357
28,1682,0.0431006712822842,6.886896573580229
29,1740,0.042074268689139514,7.102232712965745
