,batch_num,bleu,validation_loss
0,776,0.059335754022013576,5.316571162297175
1,1552,0.06680141303536845,4.935916607196514
2,2328,0.06834471112925959,4.933981675368089
3,3104,0.0704401790894436,4.753092252291166
4,3880,0.07394575523699015,4.7554779052734375
5,4656,0.07513154814330683,4.6873758756197414
6,5432,0.07534909797615456,4.8031912583571215
7,6208,0.07590091757288152,4.631703009972205
8,6984,0.07652871824227246,4.612998962402344
9,7760,0.08051882939050228,4.492324535663311
10,8536,0.07783901648418282,4.51460207425631
11,9312,0.08315902694611817,4.50353270310622
12,10088,0.08083637326195472,4.5002444340632515
13,10864,0.08224976018003123,4.554342123178335
14,11640,0.0829913378888473,4.5445392315204325
15,12416,0.08266604519180636,4.499301323523889
16,13192,0.08308008182682357,4.49928723848783
17,13968,0.08352172812282646,4.477632375863882
18,14744,0.08372692381247775,4.469602731557993
19,15520,0.08484821921220938,4.486213684082031
20,16296,0.0852058944315151,4.504951770489033
21,17072,0.0865982842825459,4.438727158766526
22,17848,0.08682956633882775,4.454307262714092
23,18624,0.08719183530349281,4.429814265324519
24,19400,0.08926642621194081,4.47837888277494
25,20176,0.08804877098100208,4.452615884634165
26,20952,0.0911889587029314,4.368319878211389
27,21728,0.09264527085289198,4.334612626295823
28,22504,0.09324266254832259,4.385747762826773
29,23280,0.09242632046822706,4.36801264836238
30,24056,0.09387729667060937,4.38387944148137
31,24832,0.09372159005054372,4.378020653357873
32,25608,0.09343250912417718,4.394554138183594
33,26384,0.09305757483319158,4.419978215144231
34,27160,0.09362584586953175,4.432741898756761
35,27936,0.09339009133747293,4.359211848332332
36,28712,0.09341539892801881,4.36753669151893
37,29488,0.09511578148497334,4.387222876915565
38,30264,0.09789145433830453,4.302639301006611
39,31040,0.09667125195075305,4.279470003568209
40,31816,0.09528780552421962,4.324251615084135
41,32592,0.09479837615259977,4.37340574998122
