,batch_num,bleu,validation_loss,proportion_of_data
0,776,0.059335754022013576,5.316571162297175,1
1,1552,0.06680141303536845,4.935916607196514,1
2,2328,0.06834471112925959,4.933981675368089,1
3,3104,0.0704401790894436,4.753092252291166,1
4,3880,0.07394575523699015,4.7554779052734375,1
5,4656,0.07513154814330683,4.6873758756197414,1
6,5432,0.07534909797615456,4.8031912583571215,1
7,6208,0.07590091757288152,4.631703009972205,1
8,6984,0.07652871824227246,4.612998962402344,1
9,7760,0.08051882939050228,4.492324535663311,1
10,8536,0.07783901648418282,4.51460207425631,1
11,9312,0.08315902694611817,4.50353270310622,1
12,10088,0.08083637326195472,4.5002444340632515,1
13,10864,0.08224976018003123,4.554342123178335,1
14,11640,0.0829913378888473,4.5445392315204325,1
15,12416,0.08266604519180636,4.499301323523889,1
16,13192,0.08308008182682357,4.49928723848783,1
17,13968,0.08352172812282646,4.477632375863882,1
18,14744,0.08372692381247775,4.469602731557993,1
19,15520,0.08484821921220938,4.486213684082031,1
20,16296,0.0852058944315151,4.504951770489033,1
21,17072,0.0865982842825459,4.438727158766526,1
22,17848,0.08682956633882775,4.454307262714092,1
23,18624,0.08719183530349281,4.429814265324519,1
24,19400,0.08926642621194081,4.47837888277494,1
25,20176,0.08804877098100208,4.452615884634165,1
26,20952,0.0911889587029314,4.368319878211389,1
27,21728,0.09264527085289198,4.334612626295823,1
28,22504,0.09324266254832259,4.385747762826773,1
29,23280,0.09242632046822706,4.36801264836238,1
30,24056,0.09387729667060937,4.38387944148137,1
31,24832,0.09372159005054372,4.378020653357873,1
32,25608,0.09343250912417718,4.394554138183594,1
33,26384,0.09305757483319158,4.419978215144231,1
34,27160,0.09362584586953175,4.432741898756761,1
35,27936,0.09339009133747293,4.359211848332332,1
36,28712,0.09341539892801881,4.36753669151893,1
37,29488,0.09511578148497334,4.387222876915565,1
38,30264,0.09789145433830453,4.302639301006611,1
39,31040,0.09667125195075305,4.279470003568209,1
40,31816,0.09528780552421962,4.324251615084135,1
41,32592,0.09479837615259977,4.37340574998122,1
42,33368,0.0950927737681973,4.350532825176533,1
43,34144,0.09462866537531125,4.37114510169396,1
44,34920,0.096103978061943,4.362180856557993,1
45,35696,0.09573701131709017,4.369758019080529,1
46,36472,0.0949225369563819,4.350046011117788,1
47,37248,0.09821881748657202,4.258318974421575,1
48,38024,0.10286202395213537,4.298679351806641,1
49,38800,0.10002759156046306,4.335921360896184,1
50,39576,0.09661356023273085,4.285545642559345,1
51,40352,0.09818131391146977,4.296991201547476,1
52,41128,0.10106186261829937,4.300132458026592,1
