,batch_num,validation_loss,bleu
0,776,5.331221580505371,0.12048547380991935
1,1552,5.243969917297363,0.10586906734467662
2,2328,5.110447406768799,0.13134227502289567
3,3104,4.9929518699646,0.14160183916288027
4,3880,5.044895172119141,0.12829972874410017
5,4656,4.677303314208984,0.1714312999336105
6,5432,4.716789722442627,0.1474173820388612
7,6208,4.699862003326416,0.1503512479387959
8,6984,4.7291693687438965,0.14867898202421273
9,7760,4.526815891265869,0.15904305098192
10,8536,4.486173629760742,0.15887347344911995
11,9312,4.280409336090088,0.18214529594797976
12,10088,4.184704780578613,0.17707996494688558
13,10864,4.237129211425781,0.1739409063276679
14,11640,4.205491065979004,0.1682129085462813
15,12416,3.820305824279785,0.21036677114194502
16,13192,3.9009809494018555,0.19238034504236165
17,13968,3.9454236030578613,0.2058887780412287
18,14744,3.900952100753784,0.20426232154165316
19,15520,3.9947681427001953,0.19447333246593895
20,16296,3.8229424953460693,0.20558459889159833
21,17072,3.797712802886963,0.20814486866233303
22,17848,3.79533314704895,0.2019148920684279
23,18624,3.737100601196289,0.20834998701642313
24,19400,3.7321417331695557,0.21605730136599138
25,20176,3.7065083980560303,0.2117626394047173
26,20952,3.5924081802368164,0.21732658408660824
27,21728,3.690824270248413,0.21644432921442522
28,22504,3.5454604625701904,0.23293378300437678
29,23280,3.492391586303711,0.23586057660303875
30,24056,3.4354135990142822,0.23712908088882964
31,24832,3.4241504669189453,0.23402263449561742
32,25608,3.48769474029541,0.2401796855906286
33,26384,3.5049924850463867,0.24229222467562503
34,27160,3.437983751296997,0.25202616090876134
35,27936,3.423063039779663,0.2423681302394472
36,28712,3.4060311317443848,0.24034855768748015
37,29488,3.2418100833892822,0.25932155883893016
38,30264,3.5491724014282227,0.2330114870567349
39,31040,3.1625070571899414,0.2687063838737204
40,31816,3.499709129333496,0.23794817356844303
41,32592,3.3942558765411377,0.24534138352408777
42,33368,3.4394891262054443,0.2400652922731671
43,34144,3.5291826725006104,0.22635150840946347
44,34920,3.23105788230896,0.2547738249408987
45,35696,3.2760860919952393,0.25034846085376505
46,36302,3.146738052368164,0.275695325981124
